Prod,Costo,Venta
Combo Familiar,4.517,10.490
Combo Full Bacon,4.925,11.490
Combo Full Clasica,4.245,9.490
Combo Clasica,2.216,4.490
Combo Italiana,2.443,4.690
Combo Bacon,2.352,4.890
Combo Romp 2,2.352,5.590
Cs-Clásica,818,2.090
Cs-Italiana,1.044,2.290
Cs-Bacon,954,2.490
Cs-Romp II,1.585,3.190
Cs-Smoke Criminal,1.405,3.190
Cs-Romp I,1.567,3.190
Papitas 180g,669,1.300
Bebida,522,1.000
Coca-Cola Zero,522,1.000
Aderezo + Pote,101,500
Nugget x3,500,1.490
Papero: SMOKE HOUSE,2.440,4.590
Bolsa Dely/ Stickers,107,107
